"","GOR","Region_Name","sex","age_group","pop_raw",".groups","region","ethnicity","N","ethnicity_per","pop"
"1",1,"North_East_England","Female","(-Inf,1]",25847.6375863978,"drop","E12000001","Asian",1701.1299007568,0.0604986305998256,1563.74667821765
"2",1,"North_East_England","Female","(-Inf,1]",25847.6375863978,"drop","E12000001","Black",335.954267962015,0.0119478078345614,308.822606859667
"3",1,"North_East_England","Female","(-Inf,1]",25847.6375863978,"drop","E12000001","Mixed",1063.1197607265,0.0378085704442407,977.262226502527
"4",1,"North_East_England","Female","(-Inf,1]",25847.6375863978,"drop","E12000001","Other",130.462682700773,0.0046397477607471,119.926518612092
"5",1,"North_East_England","Female","(-Inf,1]",25847.6375863978,"drop","E12000001","White",24887.8194410193,0.885105243360625,22877.8795562059
"6",1,"North_East_England","Female","(1,11]",147521.946374926,"drop","E12000001","Asian",7271.51341181613,0.0505710904132507,7460.34568806509
"7",1,"North_East_England","Female","(1,11]",147521.946374926,"drop","E12000001","Black",1457.25388115846,0.0101347427427379,1495.09697541785
"8",1,"North_East_England","Female","(1,11]",147521.946374926,"drop","E12000001","Mixed",4450.09894379876,0.0309490395313114,4565.66255009358
"9",1,"North_East_England","Female","(1,11]",147521.946374926,"drop","E12000001","Other",796.810865045456,0.00554156913648737,817.503064985833
"10",1,"North_East_England","Female","(1,11]",147521.946374926,"drop","E12000001","White",129812.272740584,0.902803558176213,133183.338096363
"11",1,"North_East_England","Female","(11,16]",72755.2523006318,"drop","E12000001","Asian",2983.97015042546,0.0422137761163123,3071.27393190469
"12",1,"North_East_England","Female","(11,16]",72755.2523006318,"drop","E12000001","Black",587.692785813247,0.00831400129185441,604.887261616646
"13",1,"North_East_England","Female","(11,16]",72755.2523006318,"drop","E12000001","Mixed",1601.71351884142,0.0226591998171302,1648.57579962574
"14",1,"North_East_England","Female","(11,16]",72755.2523006318,"drop","E12000001","Other",493.88205768751,0.00698687505574127,508.331857473447
"15",1,"North_East_England","Female","(11,16]",72755.2523006318,"drop","E12000001","White",65019.8589392148,0.919826147718962,66922.1834500113
"16",1,"North_East_England","Female","(16,25]",135336.395357584,"drop","E12000001","Asian",9761.90047864856,0.068854993511737,9318.58662424834
"17",1,"North_East_England","Female","(16,25]",135336.395357584,"drop","E12000001","Black",1294.07134079749,0.00912765644038523,1235.30412070418
"18",1,"North_East_England","Female","(16,25]",135336.395357584,"drop","E12000001","Mixed",2449.23681866068,0.0172755485088633,2338.01046301465
