.group,daynr,sex,age_group,daynr.sex,daynr.age_group,ethnicityg,ethnicity_wo
1,127,Male,"(1,11]",Male_127,"(1,11]_127",White,White
2,127,Male,"(1,11]",Male_127,"(1,11]_127",Asian,Non-White
3,127,Male,"(1,11]",Male_127,"(1,11]_127",Black,Non-White
4,127,Male,"(1,11]",Male_127,"(1,11]_127",Mixed,Non-White
5,127,Male,"(1,11]",Male_127,"(1,11]_127",Other,Non-White
6,127,Male,"(11,16]",Male_127,"(11,16]_127",White,White
7,127,Male,"(11,16]",Male_127,"(11,16]_127",Asian,Non-White
8,127,Male,"(11,16]",Male_127,"(11,16]_127",Black,Non-White
9,127,Male,"(11,16]",Male_127,"(11,16]_127",Mixed,Non-White
10,127,Male,"(11,16]",Male_127,"(11,16]_127",Other,Non-White
11,127,Male,"(16,25]",Male_127,"(16,25]_127",White,White
12,127,Male,"(16,25]",Male_127,"(16,25]_127",Asian,Non-White
13,127,Male,"(16,25]",Male_127,"(16,25]_127",Black,Non-White
14,127,Male,"(16,25]",Male_127,"(16,25]_127",Mixed,Non-White
15,127,Male,"(16,25]",Male_127,"(16,25]_127",Other,Non-White
16,127,Male,"(25,50]",Male_127,"(25,50]_127",White,White
17,127,Male,"(25,50]",Male_127,"(25,50]_127",Asian,Non-White
18,127,Male,"(25,50]",Male_127,"(25,50]_127",Black,Non-White
19,127,Male,"(25,50]",Male_127,"(25,50]_127",Mixed,Non-White
20,127,Male,"(25,50]",Male_127,"(25,50]_127",Other,Non-White
21,127,Male,"(50,70]",Male_127,"(50,70]_127",White,White
22,127,Male,"(50,70]",Male_127,"(50,70]_127",Asian,Non-White
23,127,Male,"(50,70]",Male_127,"(50,70]_127",Black,Non-White
24,127,Male,"(50,70]",Male_127,"(50,70]_127",Mixed,Non-White
25,127,Male,"(50,70]",Male_127,"(50,70]_127",Other,Non-White
26,127,Male,"(70, Inf]",Male_127,"(70, Inf]_127",White,White
27,127,Male,"(70, Inf]",Male_127,"(70, Inf]_127",Asian,Non-White
28,127,Male,"(70, Inf]",Male_127,"(70, Inf]_127",Black,Non-White
29,127,Male,"(70, Inf]",Male_127,"(70, Inf]_127",Mixed,Non-White
30,127,Male,"(70, Inf]",Male_127,"(70, Inf]_127",Other,Non-White
31,127,Female,"(1,11]",Female_127,"(1,11]_127",White,White
32,127,Female,"(1,11]",Female_127,"(1,11]_127",Asian,Non-White
33,127,Female,"(1,11]",Female_127,"(1,11]_127",Black,Non-White
34,127,Female,"(1,11]",Female_127,"(1,11]_127",Mixed,Non-White
35,127,Female,"(1,11]",Female_127,"(1,11]_127",Other,Non-White
36,127,Female,"(11,16]",Female_127,"(11,16]_127",White,White
37,127,Female,"(11,16]",Female_127,"(11,16]_127",Asian,Non-White
38,127,Female,"(11,16]",Female_127,"(11,16]_127",Black,Non-White
39,127,Female,"(11,16]",Female_127,"(11,16]_127",Mixed,Non-White
40,127,Female,"(11,16]",Female_127,"(11,16]_127",Other,Non-White
41,127,Female,"(16,25]",Female_127,"(16,25]_127",White,White
42,127,Female,"(16,25]",Female_127,"(16,25]_127",Asian,Non-White
43,127,Female,"(16,25]",Female_127,"(16,25]_127",Black,Non-White
44,127,Female,"(16,25]",Female_127,"(16,25]_127",Mixed,Non-White
45,127,Female,"(16,25]",Female_127,"(16,25]_127",Other,Non-White
46,127,Female,"(25,50]",Female_127,"(25,50]_127",White,White
47,127,Female,"(25,50]",Female_127,"(25,50]_127",Asian,Non-White
48,127,Female,"(25,50]",Female_127,"(25,50]_127",Black,Non-White
49,127,Female,"(25,50]",Female_127,"(25,50]_127",Mixed,Non-White
50,127,Female,"(25,50]",Female_127,"(25,50]_127",Other,Non-White
51,127,Female,"(50,70]",Female_127,"(50,70]_127",White,White
52,127,Female,"(50,70]",Female_127,"(50,70]_127",Asian,Non-White
53,127,Female,"(50,70]",Female_127,"(50,70]_127",Black,Non-White
54,127,Female,"(50,70]",Female_127,"(50,70]_127",Mixed,Non-White
55,127,Female,"(50,70]",Female_127,"(50,70]_127",Other,Non-White
56,127,Female,"(70, Inf]",Female_127,"(70, Inf]_127",White,White
57,127,Female,"(70, Inf]",Female_127,"(70, Inf]_127",Asian,Non-White
58,127,Female,"(70, Inf]",Female_127,"(70, Inf]_127",Black,Non-White
59,127,Female,"(70, Inf]",Female_127,"(70, Inf]_127",Mixed,Non-White
60,127,Female,"(70, Inf]",Female_127,"(70, Inf]_127",Other,Non-White
61,128,Male,"(1,11]",Male_128,"(1,11]_128",White,White
62,128,Male,"(1,11]",Male_128,"(1,11]_128",Asian,Non-White
63,128,Male,"(1,11]",Male_128,"(1,11]_128",Black,Non-White
64,128,Male,"(1,11]",Male_128,"(1,11]_128",Mixed,Non-White
65,128,Male,"(1,11]",Male_128,"(1,11]_128",Other,Non-White
66,128,Male,"(11,16]",Male_128,"(11,16]_128",White,White
67,128,Male,"(11,16]",Male_128,"(11,16]_128",Asian,Non-White
68,128,Male,"(11,16]",Male_128,"(11,16]_128",Black,Non-White
69,128,Male,"(11,16]",Male_128,"(11,16]_128",Mixed,Non-White
70,128,Male,"(11,16]",Male_128,"(11,16]_128",Other,Non-White
71,128,Male,"(16,25]",Male_128,"(16,25]_128",White,White
72,128,Male,"(16,25]",Male_128,"(16,25]_128",Asian,Non-White
73,128,Male,"(16,25]",Male_128,"(16,25]_128",Black,Non-White
74,128,Male,"(16,25]",Male_128,"(16,25]_128",Mixed,Non-White
75,128,Male,"(16,25]",Male_128,"(16,25]_128",Other,Non-White
76,128,Male,"(25,50]",Male_128,"(25,50]_128",White,White
77,128,Male,"(25,50]",Male_128,"(25,50]_128",Asian,Non-White
78,128,Male,"(25,50]",Male_128,"(25,50]_128",Black,Non-White
79,128,Male,"(25,50]",Male_128,"(25,50]_128",Mixed,Non-White
80,128,Male,"(25,50]",Male_128,"(25,50]_128",Other,Non-White
81,128,Male,"(50,70]",Male_128,"(50,70]_128",White,White
82,128,Male,"(50,70]",Male_128,"(50,70]_128",Asian,Non-White
83,128,Male,"(50,70]",Male_128,"(50,70]_128",Black,Non-White
84,128,Male,"(50,70]",Male_128,"(50,70]_128",Mixed,Non-White
85,128,Male,"(50,70]",Male_128,"(50,70]_128",Other,Non-White
86,128,Male,"(70, Inf]",Male_128,"(70, Inf]_128",White,White
87,128,Male,"(70, Inf]",Male_128,"(70, Inf]_128",Asian,Non-White
88,128,Male,"(70, Inf]",Male_128,"(70, Inf]_128",Black,Non-White
89,128,Male,"(70, Inf]",Male_128,"(70, Inf]_128",Mixed,Non-White
90,128,Male,"(70, Inf]",Male_128,"(70, Inf]_128",Other,Non-White
91,128,Female,"(1,11]",Female_128,"(1,11]_128",White,White
92,128,Female,"(1,11]",Female_128,"(1,11]_128",Asian,Non-White
93,128,Female,"(1,11]",Female_128,"(1,11]_128",Black,Non-White
94,128,Female,"(1,11]",Female_128,"(1,11]_128",Mixed,Non-White
95,128,Female,"(1,11]",Female_128,"(1,11]_128",Other,Non-White
96,128,Female,"(11,16]",Female_128,"(11,16]_128",White,White
97,128,Female,"(11,16]",Female_128,"(11,16]_128",Asian,Non-White
98,128,Female,"(11,16]",Female_128,"(11,16]_128",Black,Non-White
99,128,Female,"(11,16]",Female_128,"(11,16]_128",Mixed,Non-White
100,128,Female,"(11,16]",Female_128,"(11,16]_128",Other,Non-White
101,128,Female,"(16,25]",Female_128,"(16,25]_128",White,White
102,128,Female,"(16,25]",Female_128,"(16,25]_128",Asian,Non-White
103,128,Female,"(16,25]",Female_128,"(16,25]_128",Black,Non-White
104,128,Female,"(16,25]",Female_128,"(16,25]_128",Mixed,Non-White
105,128,Female,"(16,25]",Female_128,"(16,25]_128",Other,Non-White
106,128,Female,"(25,50]",Female_128,"(25,50]_128",White,White
107,128,Female,"(25,50]",Female_128,"(25,50]_128",Asian,Non-White
108,128,Female,"(25,50]",Female_128,"(25,50]_128",Black,Non-White
109,128,Female,"(25,50]",Female_128,"(25,50]_128",Mixed,Non-White
110,128,Female,"(25,50]",Female_128,"(25,50]_128",Other,Non-White
111,128,Female,"(50,70]",Female_128,"(50,70]_128",White,White
112,128,Female,"(50,70]",Female_128,"(50,70]_128",Asian,Non-White
113,128,Female,"(50,70]",Female_128,"(50,70]_128",Black,Non-White
114,128,Female,"(50,70]",Female_128,"(50,70]_128",Mixed,Non-White
115,128,Female,"(50,70]",Female_128,"(50,70]_128",Other,Non-White
116,128,Female,"(70, Inf]",Female_128,"(70, Inf]_128",White,White
117,128,Female,"(70, Inf]",Female_128,"(70, Inf]_128",Asian,Non-White
118,128,Female,"(70, Inf]",Female_128,"(70, Inf]_128",Black,Non-White
119,128,Female,"(70, Inf]",Female_128,"(70, Inf]_128",Mixed,Non-White
120,128,Female,"(70, Inf]",Female_128,"(70, Inf]_128",Other,Non-White
121,129,Male,"(1,11]",Male_129,"(1,11]_129",White,White
122,129,Male,"(1,11]",Male_129,"(1,11]_129",Asian,Non-White
123,129,Male,"(1,11]",Male_129,"(1,11]_129",Black,Non-White
124,129,Male,"(1,11]",Male_129,"(1,11]_129",Mixed,Non-White
125,129,Male,"(1,11]",Male_129,"(1,11]_129",Other,Non-White
126,129,Male,"(11,16]",Male_129,"(11,16]_129",White,White
127,129,Male,"(11,16]",Male_129,"(11,16]_129",Asian,Non-White
128,129,Male,"(11,16]",Male_129,"(11,16]_129",Black,Non-White
129,129,Male,"(11,16]",Male_129,"(11,16]_129",Mixed,Non-White
130,129,Male,"(11,16]",Male_129,"(11,16]_129",Other,Non-White
131,129,Male,"(16,25]",Male_129,"(16,25]_129",White,White
132,129,Male,"(16,25]",Male_129,"(16,25]_129",Asian,Non-White
133,129,Male,"(16,25]",Male_129,"(16,25]_129",Black,Non-White
134,129,Male,"(16,25]",Male_129,"(16,25]_129",Mixed,Non-White
135,129,Male,"(16,25]",Male_129,"(16,25]_129",Other,Non-White
136,129,Male,"(25,50]",Male_129,"(25,50]_129",White,White
137,129,Male,"(25,50]",Male_129,"(25,50]_129",Asian,Non-White
138,129,Male,"(25,50]",Male_129,"(25,50]_129",Black,Non-White
139,129,Male,"(25,50]",Male_129,"(25,50]_129",Mixed,Non-White
140,129,Male,"(25,50]",Male_129,"(25,50]_129",Other,Non-White
141,129,Male,"(50,70]",Male_129,"(50,70]_129",White,White
142,129,Male,"(50,70]",Male_129,"(50,70]_129",Asian,Non-White
143,129,Male,"(50,70]",Male_129,"(50,70]_129",Black,Non-White
144,129,Male,"(50,70]",Male_129,"(50,70]_129",Mixed,Non-White
145,129,Male,"(50,70]",Male_129,"(50,70]_129",Other,Non-White
146,129,Male,"(70, Inf]",Male_129,"(70, Inf]_129",White,White
147,129,Male,"(70, Inf]",Male_129,"(70, Inf]_129",Asian,Non-White
148,129,Male,"(70, Inf]",Male_129,"(70, Inf]_129",Black,Non-White
149,129,Male,"(70, Inf]",Male_129,"(70, Inf]_129",Mixed,Non-White
150,129,Male,"(70, Inf]",Male_129,"(70, Inf]_129",Other,Non-White
151,129,Female,"(1,11]",Female_129,"(1,11]_129",White,White
152,129,Female,"(1,11]",Female_129,"(1,11]_129",Asian,Non-White
153,129,Female,"(1,11]",Female_129,"(1,11]_129",Black,Non-White
154,129,Female,"(1,11]",Female_129,"(1,11]_129",Mixed,Non-White
155,129,Female,"(1,11]",Female_129,"(1,11]_129",Other,Non-White
156,129,Female,"(11,16]",Female_129,"(11,16]_129",White,White
157,129,Female,"(11,16]",Female_129,"(11,16]_129",Asian,Non-White
158,129,Female,"(11,16]",Female_129,"(11,16]_129",Black,Non-White
159,129,Female,"(11,16]",Female_129,"(11,16]_129",Mixed,Non-White
160,129,Female,"(11,16]",Female_129,"(11,16]_129",Other,Non-White
161,129,Female,"(16,25]",Female_129,"(16,25]_129",White,White
162,129,Female,"(16,25]",Female_129,"(16,25]_129",Asian,Non-White
163,129,Female,"(16,25]",Female_129,"(16,25]_129",Black,Non-White
164,129,Female,"(16,25]",Female_129,"(16,25]_129",Mixed,Non-White
165,129,Female,"(16,25]",Female_129,"(16,25]_129",Other,Non-White
166,129,Female,"(25,50]",Female_129,"(25,50]_129",White,White
167,129,Female,"(25,50]",Female_129,"(25,50]_129",Asian,Non-White
168,129,Female,"(25,50]",Female_129,"(25,50]_129",Black,Non-White
169,129,Female,"(25,50]",Female_129,"(25,50]_129",Mixed,Non-White
170,129,Female,"(25,50]",Female_129,"(25,50]_129",Other,Non-White
171,129,Female,"(50,70]",Female_129,"(50,70]_129",White,White
172,129,Female,"(50,70]",Female_129,"(50,70]_129",Asian,Non-White
173,129,Female,"(50,70]",Female_129,"(50,70]_129",Black,Non-White
174,129,Female,"(50,70]",Female_129,"(50,70]_129",Mixed,Non-White
175,129,Female,"(50,70]",Female_129,"(50,70]_129",Other,Non-White
176,129,Female,"(70, Inf]",Female_129,"(70, Inf]_129",White,White
177,129,Female,"(70, Inf]",Female_129,"(70, Inf]_129",Asian,Non-White
178,129,Female,"(70, Inf]",Female_129,"(70, Inf]_129",Black,Non-White
179,129,Female,"(70, Inf]",Female_129,"(70, Inf]_129",Mixed,Non-White
180,129,Female,"(70, Inf]",Female_129,"(70, Inf]_129",Other,Non-White
181,130,Male,"(1,11]",Male_130,"(1,11]_130",White,White
182,130,Male,"(1,11]",Male_130,"(1,11]_130",Asian,Non-White
183,130,Male,"(1,11]",Male_130,"(1,11]_130",Black,Non-White
184,130,Male,"(1,11]",Male_130,"(1,11]_130",Mixed,Non-White
185,130,Male,"(1,11]",Male_130,"(1,11]_130",Other,Non-White
186,130,Male,"(11,16]",Male_130,"(11,16]_130",White,White
187,130,Male,"(11,16]",Male_130,"(11,16]_130",Asian,Non-White
188,130,Male,"(11,16]",Male_130,"(11,16]_130",Black,Non-White
189,130,Male,"(11,16]",Male_130,"(11,16]_130",Mixed,Non-White
190,130,Male,"(11,16]",Male_130,"(11,16]_130",Other,Non-White
191,130,Male,"(16,25]",Male_130,"(16,25]_130",White,White
192,130,Male,"(16,25]",Male_130,"(16,25]_130",Asian,Non-White
193,130,Male,"(16,25]",Male_130,"(16,25]_130",Black,Non-White
194,130,Male,"(16,25]",Male_130,"(16,25]_130",Mixed,Non-White
195,130,Male,"(16,25]",Male_130,"(16,25]_130",Other,Non-White
196,130,Male,"(25,50]",Male_130,"(25,50]_130",White,White
197,130,Male,"(25,50]",Male_130,"(25,50]_130",Asian,Non-White
198,130,Male,"(25,50]",Male_130,"(25,50]_130",Black,Non-White
199,130,Male,"(25,50]",Male_130,"(25,50]_130",Mixed,Non-White
200,130,Male,"(25,50]",Male_130,"(25,50]_130",Other,Non-White
201,130,Male,"(50,70]",Male_130,"(50,70]_130",White,White
202,130,Male,"(50,70]",Male_130,"(50,70]_130",Asian,Non-White
203,130,Male,"(50,70]",Male_130,"(50,70]_130",Black,Non-White
204,130,Male,"(50,70]",Male_130,"(50,70]_130",Mixed,Non-White
205,130,Male,"(50,70]",Male_130,"(50,70]_130",Other,Non-White
206,130,Male,"(70, Inf]",Male_130,"(70, Inf]_130",White,White
207,130,Male,"(70, Inf]",Male_130,"(70, Inf]_130",Asian,Non-White
208,130,Male,"(70, Inf]",Male_130,"(70, Inf]_130",Black,Non-White
209,130,Male,"(70, Inf]",Male_130,"(70, Inf]_130",Mixed,Non-White
210,130,Male,"(70, Inf]",Male_130,"(70, Inf]_130",Other,Non-White
211,130,Female,"(1,11]",Female_130,"(1,11]_130",White,White
212,130,Female,"(1,11]",Female_130,"(1,11]_130",Asian,Non-White
213,130,Female,"(1,11]",Female_130,"(1,11]_130",Black,Non-White
214,130,Female,"(1,11]",Female_130,"(1,11]_130",Mixed,Non-White
215,130,Female,"(1,11]",Female_130,"(1,11]_130",Other,Non-White
216,130,Female,"(11,16]",Female_130,"(11,16]_130",White,White
217,130,Female,"(11,16]",Female_130,"(11,16]_130",Asian,Non-White
218,130,Female,"(11,16]",Female_130,"(11,16]_130",Black,Non-White
219,130,Female,"(11,16]",Female_130,"(11,16]_130",Mixed,Non-White
220,130,Female,"(11,16]",Female_130,"(11,16]_130",Other,Non-White
221,130,Female,"(16,25]",Female_130,"(16,25]_130",White,White
222,130,Female,"(16,25]",Female_130,"(16,25]_130",Asian,Non-White
223,130,Female,"(16,25]",Female_130,"(16,25]_130",Black,Non-White
224,130,Female,"(16,25]",Female_130,"(16,25]_130",Mixed,Non-White
225,130,Female,"(16,25]",Female_130,"(16,25]_130",Other,Non-White
226,130,Female,"(25,50]",Female_130,"(25,50]_130",White,White
227,130,Female,"(25,50]",Female_130,"(25,50]_130",Asian,Non-White
228,130,Female,"(25,50]",Female_130,"(25,50]_130",Black,Non-White
229,130,Female,"(25,50]",Female_130,"(25,50]_130",Mixed,Non-White
230,130,Female,"(25,50]",Female_130,"(25,50]_130",Other,Non-White
231,130,Female,"(50,70]",Female_130,"(50,70]_130",White,White
232,130,Female,"(50,70]",Female_130,"(50,70]_130",Asian,Non-White
233,130,Female,"(50,70]",Female_130,"(50,70]_130",Black,Non-White
234,130,Female,"(50,70]",Female_130,"(50,70]_130",Mixed,Non-White
235,130,Female,"(50,70]",Female_130,"(50,70]_130",Other,Non-White
236,130,Female,"(70, Inf]",Female_130,"(70, Inf]_130",White,White
237,130,Female,"(70, Inf]",Female_130,"(70, Inf]_130",Asian,Non-White
238,130,Female,"(70, Inf]",Female_130,"(70, Inf]_130",Black,Non-White
239,130,Female,"(70, Inf]",Female_130,"(70, Inf]_130",Mixed,Non-White
240,130,Female,"(70, Inf]",Female_130,"(70, Inf]_130",Other,Non-White
241,131,Male,"(1,11]",Male_131,"(1,11]_131",White,White
242,131,Male,"(1,11]",Male_131,"(1,11]_131",Asian,Non-White
243,131,Male,"(1,11]",Male_131,"(1,11]_131",Black,Non-White
244,131,Male,"(1,11]",Male_131,"(1,11]_131",Mixed,Non-White
245,131,Male,"(1,11]",Male_131,"(1,11]_131",Other,Non-White
246,131,Male,"(11,16]",Male_131,"(11,16]_131",White,White
247,131,Male,"(11,16]",Male_131,"(11,16]_131",Asian,Non-White
248,131,Male,"(11,16]",Male_131,"(11,16]_131",Black,Non-White
249,131,Male,"(11,16]",Male_131,"(11,16]_131",Mixed,Non-White
250,131,Male,"(11,16]",Male_131,"(11,16]_131",Other,Non-White
251,131,Male,"(16,25]",Male_131,"(16,25]_131",White,White
252,131,Male,"(16,25]",Male_131,"(16,25]_131",Asian,Non-White
253,131,Male,"(16,25]",Male_131,"(16,25]_131",Black,Non-White
254,131,Male,"(16,25]",Male_131,"(16,25]_131",Mixed,Non-White
255,131,Male,"(16,25]",Male_131,"(16,25]_131",Other,Non-White
256,131,Male,"(25,50]",Male_131,"(25,50]_131",White,White
257,131,Male,"(25,50]",Male_131,"(25,50]_131",Asian,Non-White
258,131,Male,"(25,50]",Male_131,"(25,50]_131",Black,Non-White
259,131,Male,"(25,50]",Male_131,"(25,50]_131",Mixed,Non-White
260,131,Male,"(25,50]",Male_131,"(25,50]_131",Other,Non-White
261,131,Male,"(50,70]",Male_131,"(50,70]_131",White,White
262,131,Male,"(50,70]",Male_131,"(50,70]_131",Asian,Non-White
263,131,Male,"(50,70]",Male_131,"(50,70]_131",Black,Non-White
264,131,Male,"(50,70]",Male_131,"(50,70]_131",Mixed,Non-White
265,131,Male,"(50,70]",Male_131,"(50,70]_131",Other,Non-White
266,131,Male,"(70, Inf]",Male_131,"(70, Inf]_131",White,White
267,131,Male,"(70, Inf]",Male_131,"(70, Inf]_131",Asian,Non-White
268,131,Male,"(70, Inf]",Male_131,"(70, Inf]_131",Black,Non-White
269,131,Male,"(70, Inf]",Male_131,"(70, Inf]_131",Mixed,Non-White
270,131,Male,"(70, Inf]",Male_131,"(70, Inf]_131",Other,Non-White
271,131,Female,"(1,11]",Female_131,"(1,11]_131",White,White
272,131,Female,"(1,11]",Female_131,"(1,11]_131",Asian,Non-White
273,131,Female,"(1,11]",Female_131,"(1,11]_131",Black,Non-White
274,131,Female,"(1,11]",Female_131,"(1,11]_131",Mixed,Non-White
275,131,Female,"(1,11]",Female_131,"(1,11]_131",Other,Non-White
276,131,Female,"(11,16]",Female_131,"(11,16]_131",White,White
277,131,Female,"(11,16]",Female_131,"(11,16]_131",Asian,Non-White
278,131,Female,"(11,16]",Female_131,"(11,16]_131",Black,Non-White
279,131,Female,"(11,16]",Female_131,"(11,16]_131",Mixed,Non-White
280,131,Female,"(11,16]",Female_131,"(11,16]_131",Other,Non-White
281,131,Female,"(16,25]",Female_131,"(16,25]_131",White,White
282,131,Female,"(16,25]",Female_131,"(16,25]_131",Asian,Non-White
283,131,Female,"(16,25]",Female_131,"(16,25]_131",Black,Non-White
284,131,Female,"(16,25]",Female_131,"(16,25]_131",Mixed,Non-White
285,131,Female,"(16,25]",Female_131,"(16,25]_131",Other,Non-White
286,131,Female,"(25,50]",Female_131,"(25,50]_131",White,White
287,131,Female,"(25,50]",Female_131,"(25,50]_131",Asian,Non-White
288,131,Female,"(25,50]",Female_131,"(25,50]_131",Black,Non-White
289,131,Female,"(25,50]",Female_131,"(25,50]_131",Mixed,Non-White
290,131,Female,"(25,50]",Female_131,"(25,50]_131",Other,Non-White
291,131,Female,"(50,70]",Female_131,"(50,70]_131",White,White
292,131,Female,"(50,70]",Female_131,"(50,70]_131",Asian,Non-White
293,131,Female,"(50,70]",Female_131,"(50,70]_131",Black,Non-White
294,131,Female,"(50,70]",Female_131,"(50,70]_131",Mixed,Non-White
295,131,Female,"(50,70]",Female_131,"(50,70]_131",Other,Non-White
296,131,Female,"(70, Inf]",Female_131,"(70, Inf]_131",White,White
297,131,Female,"(70, Inf]",Female_131,"(70, Inf]_131",Asian,Non-White
298,131,Female,"(70, Inf]",Female_131,"(70, Inf]_131",Black,Non-White
299,131,Female,"(70, Inf]",Female_131,"(70, Inf]_131",Mixed,Non-White
300,131,Female,"(70, Inf]",Female_131,"(70, Inf]_131",Other,Non-White
301,132,Male,"(1,11]",Male_132,"(1,11]_132",White,White
302,132,Male,"(1,11]",Male_132,"(1,11]_132",Asian,Non-White
303,132,Male,"(1,11]",Male_132,"(1,11]_132",Black,Non-White
304,132,Male,"(1,11]",Male_132,"(1,11]_132",Mixed,Non-White
305,132,Male,"(1,11]",Male_132,"(1,11]_132",Other,Non-White
306,132,Male,"(11,16]",Male_132,"(11,16]_132",White,White
307,132,Male,"(11,16]",Male_132,"(11,16]_132",Asian,Non-White
308,132,Male,"(11,16]",Male_132,"(11,16]_132",Black,Non-White
309,132,Male,"(11,16]",Male_132,"(11,16]_132",Mixed,Non-White
310,132,Male,"(11,16]",Male_132,"(11,16]_132",Other,Non-White
311,132,Male,"(16,25]",Male_132,"(16,25]_132",White,White
312,132,Male,"(16,25]",Male_132,"(16,25]_132",Asian,Non-White
313,132,Male,"(16,25]",Male_132,"(16,25]_132",Black,Non-White
314,132,Male,"(16,25]",Male_132,"(16,25]_132",Mixed,Non-White
315,132,Male,"(16,25]",Male_132,"(16,25]_132",Other,Non-White
316,132,Male,"(25,50]",Male_132,"(25,50]_132",White,White
317,132,Male,"(25,50]",Male_132,"(25,50]_132",Asian,Non-White
318,132,Male,"(25,50]",Male_132,"(25,50]_132",Black,Non-White
319,132,Male,"(25,50]",Male_132,"(25,50]_132",Mixed,Non-White
320,132,Male,"(25,50]",Male_132,"(25,50]_132",Other,Non-White
321,132,Male,"(50,70]",Male_132,"(50,70]_132",White,White
322,132,Male,"(50,70]",Male_132,"(50,70]_132",Asian,Non-White
323,132,Male,"(50,70]",Male_132,"(50,70]_132",Black,Non-White
324,132,Male,"(50,70]",Male_132,"(50,70]_132",Mixed,Non-White
325,132,Male,"(50,70]",Male_132,"(50,70]_132",Other,Non-White
326,132,Male,"(70, Inf]",Male_132,"(70, Inf]_132",White,White
327,132,Male,"(70, Inf]",Male_132,"(70, Inf]_132",Asian,Non-White
328,132,Male,"(70, Inf]",Male_132,"(70, Inf]_132",Black,Non-White
329,132,Male,"(70, Inf]",Male_132,"(70, Inf]_132",Mixed,Non-White
330,132,Male,"(70, Inf]",Male_132,"(70, Inf]_132",Other,Non-White
331,132,Female,"(1,11]",Female_132,"(1,11]_132",White,White
332,132,Female,"(1,11]",Female_132,"(1,11]_132",Asian,Non-White
333,132,Female,"(1,11]",Female_132,"(1,11]_132",Black,Non-White
334,132,Female,"(1,11]",Female_132,"(1,11]_132",Mixed,Non-White
335,132,Female,"(1,11]",Female_132,"(1,11]_132",Other,Non-White
336,132,Female,"(11,16]",Female_132,"(11,16]_132",White,White
337,132,Female,"(11,16]",Female_132,"(11,16]_132",Asian,Non-White
338,132,Female,"(11,16]",Female_132,"(11,16]_132",Black,Non-White
339,132,Female,"(11,16]",Female_132,"(11,16]_132",Mixed,Non-White
340,132,Female,"(11,16]",Female_132,"(11,16]_132",Other,Non-White
341,132,Female,"(16,25]",Female_132,"(16,25]_132",White,White
342,132,Female,"(16,25]",Female_132,"(16,25]_132",Asian,Non-White
343,132,Female,"(16,25]",Female_132,"(16,25]_132",Black,Non-White
344,132,Female,"(16,25]",Female_132,"(16,25]_132",Mixed,Non-White
345,132,Female,"(16,25]",Female_132,"(16,25]_132",Other,Non-White
346,132,Female,"(25,50]",Female_132,"(25,50]_132",White,White
347,132,Female,"(25,50]",Female_132,"(25,50]_132",Asian,Non-White
348,132,Female,"(25,50]",Female_132,"(25,50]_132",Black,Non-White
349,132,Female,"(25,50]",Female_132,"(25,50]_132",Mixed,Non-White
350,132,Female,"(25,50]",Female_132,"(25,50]_132",Other,Non-White
351,132,Female,"(50,70]",Female_132,"(50,70]_132",White,White
352,132,Female,"(50,70]",Female_132,"(50,70]_132",Asian,Non-White
353,132,Female,"(50,70]",Female_132,"(50,70]_132",Black,Non-White
354,132,Female,"(50,70]",Female_132,"(50,70]_132",Mixed,Non-White
355,132,Female,"(50,70]",Female_132,"(50,70]_132",Other,Non-White
356,132,Female,"(70, Inf]",Female_132,"(70, Inf]_132",White,White
357,132,Female,"(70, Inf]",Female_132,"(70, Inf]_132",Asian,Non-White
358,132,Female,"(70, Inf]",Female_132,"(70, Inf]_132",Black,Non-White
359,132,Female,"(70, Inf]",Female_132,"(70, Inf]_132",Mixed,Non-White
360,132,Female,"(70, Inf]",Female_132,"(70, Inf]_132",Other,Non-White
361,133,Male,"(1,11]",Male_133,"(1,11]_133",White,White
362,133,Male,"(1,11]",Male_133,"(1,11]_133",Asian,Non-White
363,133,Male,"(1,11]",Male_133,"(1,11]_133",Black,Non-White
364,133,Male,"(1,11]",Male_133,"(1,11]_133",Mixed,Non-White
365,133,Male,"(1,11]",Male_133,"(1,11]_133",Other,Non-White
366,133,Male,"(11,16]",Male_133,"(11,16]_133",White,White
367,133,Male,"(11,16]",Male_133,"(11,16]_133",Asian,Non-White
368,133,Male,"(11,16]",Male_133,"(11,16]_133",Black,Non-White
369,133,Male,"(11,16]",Male_133,"(11,16]_133",Mixed,Non-White
370,133,Male,"(11,16]",Male_133,"(11,16]_133",Other,Non-White
371,133,Male,"(16,25]",Male_133,"(16,25]_133",White,White
372,133,Male,"(16,25]",Male_133,"(16,25]_133",Asian,Non-White
373,133,Male,"(16,25]",Male_133,"(16,25]_133",Black,Non-White
374,133,Male,"(16,25]",Male_133,"(16,25]_133",Mixed,Non-White
375,133,Male,"(16,25]",Male_133,"(16,25]_133",Other,Non-White
376,133,Male,"(25,50]",Male_133,"(25,50]_133",White,White
377,133,Male,"(25,50]",Male_133,"(25,50]_133",Asian,Non-White
378,133,Male,"(25,50]",Male_133,"(25,50]_133",Black,Non-White
379,133,Male,"(25,50]",Male_133,"(25,50]_133",Mixed,Non-White
380,133,Male,"(25,50]",Male_133,"(25,50]_133",Other,Non-White
381,133,Male,"(50,70]",Male_133,"(50,70]_133",White,White
382,133,Male,"(50,70]",Male_133,"(50,70]_133",Asian,Non-White
383,133,Male,"(50,70]",Male_133,"(50,70]_133",Black,Non-White
